t,x,y,z,yaw
0.0,2.2,1.5,0.2,-3.141592653589793
0.1,2.1986187098997902,1.4560466363294806,0.20800000000000002,-3.204424506661589
0.2,2.1944802909201346,1.412266736504987,0.21600000000000003,-3.267256359733385
0.30000000000000004,2.1876010755100825,1.368833079789993,0.224,-3.3300882128051805
0.4,2.1780082127900418,1.3259170789846018,0.232,-3.3929200658769765
0.5,2.1657395614066077,1.283688103937537,0.24000000000000002,-3.4557519189487724
0.6000000000000001,2.1508435401217763,1.2423128131207255,0.24800000000000003,-3.5185837720205684
0.7000000000000001,2.133378936726214,1.2019544959044492,0.256,-3.5814156250923643
0.8,2.113414676030705,1.1627724281287994,0.264,-3.64424747816416
0.9,2.0910295478514107,1.1249212435147025,0.272,-3.707079331235956
1.0,2.0663118960624636,1.088550323395269,0.28,-3.7699111843077517
1.1,2.0393592699430525,1.0538032071759174,0.28800000000000003,-3.8327430373795477
1.2000000000000002,2.010278039194988,1.0208170258499178,0.29600000000000004,-3.8955748904513436
1.3,1.9791829741500824,0.9897219608050121,0.30400000000000005,-3.958406743523139
1.4000000000000001,1.9461967928240829,0.9606407300569475,0.31200000000000006,-4.0212385965949355
1.5,1.9114496766047315,0.9336881039375369,0.32,-4.084070449666731
1.6,1.8750787564852982,0.9089704521485896,0.328,-4.146902302738527
1.7000000000000002,1.837227571871201,0.8865853239692956,0.336,-4.209734155810323
1.8,1.7980455040955512,0.8666210632737865,0.34400000000000003,-4.2725660088821185
1.9000000000000001,1.7576871868792747,0.849156459878224,0.35200000000000004,-4.335397861953915
2.0,1.7163118960624635,0.8342604385933926,0.36,-4.39822971502571
2.1,1.674082921015399,0.8219917872099584,0.368,-4.461061568097506
2.2,1.6311669202100074,0.8123989244899179,0.376,-4.523893421169302
2.3000000000000003,1.5877332634950128,0.8055197090798655,0.384,-4.586725274241099
2.4000000000000004,1.5439533636705194,0.80138129010021,0.392,-4.649557127312894
2.5,1.5000000000000004,0.8,0.4,-4.71238898038469
2.6,1.4560466363294813,0.80138129010021,0.40800000000000003,-4.775220833456485
2.7,1.4122667365049872,0.8055197090798655,0.41600000000000004,-4.838052686528282
2.8000000000000003,1.3688330797899926,0.812398924489918,0.42400000000000004,-4.900884539600078
2.9000000000000004,1.3259170789846018,0.8219917872099582,0.43200000000000005,-4.9637163926718735
3.0,1.2836881039375372,0.8342604385933925,0.44,-5.026548245743669
3.1,1.242312813120726,0.849156459878224,0.44800000000000006,-5.0893800988154645
3.2,1.2019544959044495,0.8666210632737863,0.456,-5.152211951887261
3.3000000000000003,1.1627724281287992,0.8865853239692957,0.464,-5.215043804959057
3.4000000000000004,1.1249212435147025,0.9089704521485895,0.47200000000000003,-5.277875658030853
3.5,1.0885503233952691,0.9336881039375368,0.48000000000000004,-5.340707511102648
3.6,1.0538032071759178,0.9606407300569473,0.48800000000000004,-5.403539364174444
3.7,1.0208170258499183,0.989721960805012,0.49600000000000005,-5.46637121724624
3.8000000000000003,0.989721960805012,1.0208170258499183,0.504,-5.529203070318037
3.9000000000000004,0.9606407300569477,1.0538032071759174,0.512,-5.592034923389832
4.0,0.9336881039375371,1.0885503233952687,0.52,-5.654866776461628
4.1000000000000005,0.9089704521485895,1.1249212435147027,0.528,-5.717698629533424
4.2,0.8865853239692958,1.1627724281287992,0.536,-5.7805304826052195
4.3,0.8666210632737867,1.2019544959044488,0.544,-5.843362335677015
4.4,0.8491564598782242,1.2423128131207255,0.552,-5.906194188748811
4.5,0.8342604385933928,1.2836881039375367,0.56,-5.969026041820607
4.6000000000000005,0.8219917872099585,1.325917078984602,0.5680000000000001,-6.031857894892403
4.7,0.8123989244899181,1.3688330797899928,0.5760000000000001,-6.094689747964199
4.800000000000001,0.8055197090798657,1.4122667365049875,0.5840000000000001,-6.157521601035995
4.9,0.8013812901002102,1.4560466363294806,0.5920000000000001,-6.220353454107791
5.0,0.8000000000000003,1.4999999999999998,0.6000000000000001,-6.283185307179586
5.1000000000000005,0.8013812901002102,1.5439533636705196,0.6080000000000001,-6.346017160251383
5.2,0.8055197090798657,1.587733263495013,0.6160000000000001,-6.408849013323178
5.300000000000001,0.8123989244899182,1.6311669202100076,0.6240000000000001,-6.4716808663949745
5.4,0.8219917872099585,1.6740829210153985,0.6320000000000001,-6.53451271946677
5.5,0.8342604385933927,1.716311896062463,0.64,-6.5973445725385655
5.6000000000000005,0.8491564598782243,1.7576871868792747,0.6480000000000001,-6.660176425610362
5.7,0.8666210632737865,1.7980455040955508,0.656,-6.7230082786821574
5.800000000000001,0.8865853239692959,1.837227571871201,0.6640000000000001,-6.785840131753954
5.9,0.9089704521485897,1.8750787564852978,0.672,-6.848671984825749
6.0,0.933688103937537,1.911449676604731,0.6799999999999999,-6.911503837897545
6.1000000000000005,0.960640730056948,1.9461967928240829,0.6880000000000001,-6.974335690969341
6.2,0.9897219608050122,1.979182974150082,0.6960000000000001,-7.037167544041137
6.300000000000001,1.0208170258499183,2.010278039194988,0.7040000000000002,-7.099999397112933
6.4,1.0538032071759176,2.0393592699430525,0.712,-7.162831250184729
6.5,1.088550323395269,2.066311896062463,0.72,-7.225663103256524
6.6000000000000005,1.1249212435147027,2.0910295478514107,0.728,-7.288494956328321
6.7,1.1627724281287994,2.1134146760307044,0.736,-7.351326809400116
6.800000000000001,1.2019544959044497,2.1333789367262135,0.744,-7.4141586624719125
6.9,1.2423128131207257,2.150843540121776,0.752,-7.476990515543708
7.0,1.2836881039375367,2.1657395614066073,0.76,-7.5398223686155035
