# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.000000,2.196998,-0.000000,-0.000000,-0.374688,0.270033,0.087670,-0.154751,0.040449,1.457270,0.000000,-0.000000,-4.166277,6.616529,-0.511597,-4.307501,2.009468,0.209498,0.000000,0.000000,0.538261,-0.679087,-0.075694,0.463655,-0.176934,-3.202510,0.000000,0.000000,-6.009194,9.488421,-0.740386,-6.176123,2.883400
1.000000,2.065712,-0.250938,-0.098986,-0.097138,0.144177,0.004457,-0.083098,0.032299,1.097892,-0.369429,-0.329312,1.365232,-1.112477,-0.390334,0.839838,-0.267758,0.279700,0.063360,0.022537,0.145389,-0.275610,0.026013,0.180386,-0.082876,-3.756391,-0.648761,-0.591348,1.937188,-1.605217,-0.555679,1.206172,-0.384895
1.000000,1.716486,-0.413823,-0.048953,-0.007346,0.063475,-0.003108,-0.039507,0.016697,0.833653,-0.169211,0.162840,0.437222,-0.839197,0.132547,0.548683,-0.274953,0.358899,0.074411,0.030571,0.010146,-0.089153,0.021138,0.069135,-0.035939,-4.398931,-0.676387,0.041913,0.611648,-1.178963,0.187641,0.767023,-0.383993
1.000000,1.283920,-0.415573,0.036800,0.009710,0.034469,-0.002716,-0.021979,0.009191,0.831585,0.141513,0.221034,-0.243780,0.080860,0.123334,-0.048317,-0.018211,0.439208,0.078310,0.019787,-0.010240,-0.034581,0.013297,0.031344,-0.017717,-5.030050,-0.621081,0.120973,-0.327098,0.135522,0.166607,-0.083897,-0.016215
1.000000,0.933822,-0.256086,0.108904,0.002518,0.018025,-0.000476,-0.010870,0.003958,1.088018,0.374974,0.101013,-0.290718,0.324047,0.044564,-0.219589,0.078654,0.519409,0.079372,0.012656,-0.008806,-0.017334,0.007078,0.016407,-0.009155,-5.655239,-0.602195,0.019905,-0.364416,0.469477,0.051470,-0.318567,0.118097
1.000000,0.799795,0.001483,0.139923,-0.008998,0.002802,-0.000251,-0.002284,0.000994,1.500964,0.456902,-0.023311,-0.187769,0.277297,0.002852,-0.196488,0.082290,0.599628,0.078683,0.006877,0.000370,-0.010494,0.000596,0.007049,-0.002705,-6.281467,-0.605096,-0.040244,-0.209746,0.393507,-0.006993,-0.279142,0.119752
1.000000,0.933464,0.257543,0.113848,-0.011184,-0.008900,-0.003695,0.001121,0.001581,1.912737,0.367523,-0.113543,-0.099666,0.182837,-0.009384,-0.133367,0.059634,0.680003,0.077904,-0.000098,0.010646,-0.004936,-0.004798,-0.000988,0.002607,-6.909429,-0.612345,-0.050701,-0.097157,0.254057,-0.021486,-0.186373,0.085190
1.000000,1.283777,0.415402,0.039957,-0.005984,-0.013089,-0.007119,0.000321,0.003472,2.166770,0.143102,-0.157549,-0.042303,0.109253,-0.009998,-0.080111,0.037237,0.760341,0.078236,-0.005824,0.014410,0.000695,-0.006439,-0.006091,0.005095,-7.538244,-0.618329,-0.039292,-0.041589,0.146425,-0.018565,-0.109442,0.051830
1.000000,1.716737,0.415642,-0.049995,-0.001595,-0.010598,-0.006475,-0.000364,0.003347,2.166400,-0.131893,-0.148610,-0.004194,0.061715,-0.008719,-0.044444,0.021575,0.840423,0.079524,-0.007178,0.009318,0.004495,-0.003876,-0.006474,0.004010,-8.167206,-0.622643,-0.024349,-0.016313,0.077173,-0.013008,-0.058308,0.028650
1.000000,2.066699,0.257342,-0.118301,0.001112,-0.005748,-0.003093,0.000679,0.001399,1.911831,-0.354068,-0.091676,0.021720,0.031628,-0.008815,-0.022681,0.012298,0.920243,0.080952,-0.003903,-0.000577,0.004594,0.000607,-0.002709,0.000674,-8.796005,-0.625930,-0.013309,-0.001123,0.034599,-0.010380,-0.027569,0.015172
1.000000,2.200089,-0.000513,-0.140822,0.009727,-0.000829,-0.002395,-0.000261,0.001411,1.500237,-0.439823,-0.006856,0.036891,0.010930,-0.010340,-0.009605,0.007318,0.999881,0.081294,0.001533,-0.006700,0.001199,0.002688,0.001392,-0.001566,-9.424544,-0.628632,-0.007813,0.013104,0.007829,-0.011317,-0.009948,0.008443
1.000000,2.066407,-0.259959,-0.114858,0.026613,0.005990,-0.005952,-0.006450,0.004991,1.088752,-0.357245,0.075599,0.041235,-0.005495,-0.011974,-0.000642,0.004247,1.079722,0.079888,0.003501,-0.001997,-0.001902,-0.000213,0.001004,0.000006,-10.052878,-0.630802,-0.006611,0.027804,-0.010655,-0.014024,0.001164,0.004892
1.000000,1.716783,-0.419395,-0.050534,0.036738,0.013313,-0.008081,-0.012442,0.007742,0.834478,-0.138314,0.126148,0.035311,-0.020003,-0.011653,0.007829,0.000685,1.160009,0.078291,-0.000846,0.008559,-0.000880,-0.004803,-0.003617,0.003651,-10.681109,-0.632117,-0.007161,0.039466,-0.025521,-0.015072,0.011438,0.000702
